,survived,pclass,sex,age,sibsp,parch,fare,embarked,adult_male,alive,alone,family_size,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,who_child,who_man,who_woman,class_First,class_Second,class_Third
0,0,3,0,22.0,1,0,7.25,2,True,1,False,2,False,False,True,False,True,False,False,False,True
1,1,1,1,38.0,1,0,71.2833,0,False,0,False,2,True,False,False,False,False,True,True,False,False
2,1,3,1,26.0,0,0,7.925,2,False,0,True,1,False,False,True,False,False,True,False,False,True
3,1,1,1,35.0,1,0,53.1,2,False,0,False,2,False,False,True,False,False,True,True,False,False
4,0,3,0,35.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
5,0,3,0,28.0,0,0,8.4583,1,True,1,True,1,False,True,False,False,True,False,False,False,True
6,0,1,0,54.0,0,0,51.8625,2,True,1,True,1,False,False,True,False,True,False,True,False,False
7,0,3,0,2.0,3,1,21.075,2,False,1,False,5,False,False,True,True,False,False,False,False,True
8,1,3,1,27.0,0,2,11.1333,2,False,0,False,3,False,False,True,False,False,True,False,False,True
9,1,2,1,14.0,1,0,30.0708,0,False,0,False,2,True,False,False,True,False,False,False,True,False
10,1,3,1,4.0,1,1,16.7,2,False,0,False,3,False,False,True,True,False,False,False,False,True
11,1,1,1,58.0,0,0,26.55,2,False,0,True,1,False,False,True,False,False,True,True,False,False
12,0,3,0,20.0,0,0,8.05,2,True,1,True,1,False,False,True,False,True,False,False,False,True
13,0,3,0,39.0,1,5,31.275,2,True,1,False,7,False,False,True,False,True,False,False,False,True
14,0,3,1,14.0,0,0,7.8542,2,False,1,True,1,False,False,True,True,False,False,False,False,True
15,1,2,1,55.0,0,0,16.0,2,False,0,True,1,False,False,True,False,False,True,False,True,False
16,0,3,0,2.0,4,1,29.125,1,False,1,False,6,False,True,False,True,False,False,False,False,True
17,1,2,0,28.0,0,0,13.0,2,True,0,True,1,False,False,True,False,True,False,False,True,False
18,0,3,1,31.0,1,0,18.0,2,False,1,False,2,False,False,True,False,False,True,False,False,True
19,1,3,1,28.0,0,0,7.225,0,False,0,True,1,True,False,False,False,False,True,False,False,True
20,0,2,0,35.0,0,0,26.0,2,True,1,True,1,False,False,True,False,True,False,False,True,False
21,1,2,0,34.0,0,0,13.0,2,True,0,True,1,False,False,True,False,True,False,False,True,False
22,1,3,1,15.0,0,0,8.0292,1,False,0,True,1,False,True,False,True,False,False,False,False,True
23,1,1,0,28.0,0,0,35.5,2,True,0,True,1,False,False,True,False,True,False,True,False,False
24,0,3,1,8.0,3,1,21.075,2,False,1,False,5,False,False,True,True,False,False,False,False,True
25,1,3,1,38.0,1,5,31.3875,2,False,0,False,7,False,False,True,False,False,True,False,False,True
26,0,3,0,28.0,0,0,7.225,0,True,1,True,1,True,False,False,False,True,False,False,False,True
27,0,1,0,19.0,3,2,263.0,2,True,1,False,6,False,False,True,False,True,False,True,False,False
28,1,3,1,28.0,0,0,7.8792,1,False,0,True,1,False,True,False,False,False,True,False,False,True
29,0,3,0,28.0,0,0,7.8958,2,True,1,True,1,False,False,True,False,True,False,False,False,True
30,0,1,0,40.0,0,0,27.7208,0,True,1,True,1,True,False,False,False,True,False,True,False,False
31,1,1,1,28.0,1,0,146.5208,0,False,0,False,2,True,False,False,False,False,True,True,False,False
32,1,3,1,28.0,0,0,7.75,1,False,0,True,1,False,True,False,False,False,True,False,False,True
33,0,2,0,66.0,0,0,10.5,2,True,1,True,1,False,False,True,False,True,False,False,True,False
34,0,1,0,28.0,1,0,82.1708,0,True,1,False,2,True,False,False,False,True,False,True,False,False
35,0,1,0,42.0,1,0,52.0,2,True,1,False,2,False,False,True,False,True,False,True,False,False
36,1,3,0,28.0,0,0,7.2292,0,True,0,True,1,True,False,False,False,True,False,False,False,True
